subj_id,age,gender,live_here,from_where,sibling_number,sibling_order,language,language_home,language_school,school,church,religion,religion_cat,church_cat
gh_children_020_flowers,6,M,Cape Coast,Kumasi,6,4,"English, Fante",Fante,"English, Fante",Calvary Hillcrest,Kakundo Church,christian,christian,Kakundo Church
gh_children_021_beetles,8,M,Elmina,Elmina,5,6,"English, Fante",Fante,English,Calvary Hillcrest,Saint Francis of Asissi,christian,christian,Saint Francis of Asissi
gh_children_022_cellphones,8,M,Cape Coast,Kumasi,4,3,"English, Fante, Twi","Twi, Fante",English,Calvary Hillcrest,Assemblies of God,christian,christian,Assemblies of God
gh_children_023_dogs,9,M,Cape Coast,Cape Coast,2,3,"English, Fante",Fante,English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_024_beetles,8,M,Cape Coast,Accra,1,2,"English, Ga",English,English,Calvary Hillcrest,Ebenezer Presbyterian Church,christian,christian,Ebenezer Presbyterian Church
gh_children_025_dogs,7,M,Atabadze,Elmina,2,2,"English, Fante",Fante,English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_026_chickens,9,F,Cape Coast,Cape Coast,2,2,"English, Fante",English,"English, Fante",Calvary Hillcrest,Winners Chapel,christian,christian,Winners Chapel
gh_children_027_ghosts,8,M,Cape Coast,Cape Coast,2,1,"English, Fante",Fante,English,Calvary Hillcrest,House of Prayer for All Nations,christian,christian,House of Prayer for All Nations
gh_children_028_children,8,M,Cape Coast,Cape Coast,5,1,"English, Twi",Twi,English,Calvary Hillcrest,Praise Baptist Church,christian,christian,Praise Baptist Church
gh_children_029_children,8,M,Cape Coast,Kumasi,3,3,"English, Fante, Twi","English, Fante",English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_030_flowers,9,F,Cape Coast,Eastern Region,4,1,"English, Twi, Krobo","Twi, Krobo",English,Calvary Hillcrest,Church of Christ,christian,christian,Church of Christ
gh_children_031_rocks,6,M,Cape Coast,Cape Coast,2,1,"English, Twi",Twi,English,Calvary Hillcrest,Musama Disco Christo Church,christian,christian,Musama Disco Christo Church
gh_children_032_beetles,8,M,Cape Coast,Cape Coast,2,2,"English, Fante",Fante,English,Calvary Hillcrest,Life Changing Gospel Ministry,christian,christian,Life Changing Gospel Ministry
gh_children_033_chickens,8,M,Cape Coast,Accra,1,1,"English, Fante",Fante,English,Calvary Hillcrest,Consuming Fire Church,christian,christian,Consuming Fire Church
gh_children_034_ghosts,8,M,Cape Coast,Volta Region,1,1,"English, Ewe","English, Ewe",English,Calvary Hillcrest,E.P. Church (Ewe Church),christian,christian,E.P. Church (Ewe Church)
gh_children_035_ghosts,10,M,Cape Coast,Koforidua,7,4,"English, Fante",Fante,English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_036_children,10,F,Cape Coast,Tarkwa,2,3,"English, Fante",Fante,English,Calvary Hillcrest,Methodist,christian,christian,Methodist
gh_children_037_god,9,M,Abura Aseibu Asamankise,Mankessim,2,1,"English, Fante","English, Fante",English,Calvary Hillcrest,Lighthouse Chapel,christian,christian,Lighthouse Chapel
gh_children_038_beetles,9,F,Cape Coast,Nigeria,4,5,"English, Fante, Ibo",Ibo,English,Calvary Hillcrest,Winners Chapel,christian,christian,Winners Chapel
gh_children_039_dogs,8,F,Cape Coast,Winneba,2,2,"English, Fante","English, Fante",English,Calvary Hillcrest,Saint John Catholic Church,christian,christian,Saint John Catholic Church
gh_children_040_chickens,10,F,Cape Coast,Apam,2,2,"English, Fante",Fante,English,Calvary Hillcrest,Christ Church Cathedral (Anglican),christian,christian,Christ Church Cathedral (Anglican)
gh_children_041_ghosts,10,F,Cape Coast,Abakwampa,5,4,"English, Fante",Fante,English,Calvary Hillcrest,Ebenezer Worship Center,christian,christian,Ebenezer Worship Center
gh_children_042_rocks,9,F,Cape Coast,Cape Coast,2,2,"English, Fante",Fante,English,Calvary Hillcrest,Presbyterian,christian,christian,Presbyterian
gh_children_043_children,10,F,Cape Coast,Accra,2,1,"English, Fante",Fante,English,Calvary Hillcrest,Assemblies of God,christian,christian,Assemblies of God
gh_children_044_cellphones,8,F,Cape Coast,Volta Region,2,1,"English, Ewe","English, Ewe",English,Calvary Hillcrest,Presbyterian Evangelical Church,christian,christian,Presbyterian Evangelical Church
gh_children_045_ghosts,8,M,Cape Coast,Kumasi,10,7,"English, Fante, Twi","Fante, Twi",English,Calvary Hillcrest,ICPC,christian,christian,ICPC
gh_children_046_cellphones,9,F,Cape Coast,Cape Coast,3,2,"English, Fante, Ewe",Fante,English,Calvary Hillcrest,Seventh Day Adventist,christian,christian,Seventh Day Adventist
gh_children_047_cellphones,8,F,Cape Coast,Cape Coast,1,1,"English, Fante, Twi",Fante,English,Calvary Hillcrest,Saint John the Baptist,christian,christian,Saint John the Baptist
gh_children_048_dogs,9,M,Cape Coast,Cape Coast,5,3,"English, Fante",Fante,English,Calvary Hillcrest,Bridge of Life Christian Center,christian,christian,Bridge of Life Christian Center
gh_children_049_ghosts,8,M,Cape Coast,Accra,2,2,"English, Fante",English,"English, Fante",Calvary Hillcrest,Maranatha Assemblies of God,christian,christian,Maranatha Assemblies of God
gh_children_050_children,7,M,Cape Coast,Takoradi,3,1,"English, Fante",Fante,English,Calvary Hillcrest,Bethel Assemblies of God,christian,christian,Bethel Assemblies of God
gh_children_051_cellphones,7,F,Elmina,Kumasi,7,5,"English, Ewe",Ewe,English,Calvary Hillcrest,Seventh Day Adventist,christian,christian,Seventh Day Adventist
gh_children_052_children,8,F,Cape Coast,Cape Coast,1,1,"English, Fante","English, Fante",English,Calvary Hillcrest,Emmanuel Methodist Church,christian,christian,Emmanuel Methodist Church
gh_children_053_ghosts,7,F,Cape Coast,Kumasi,1,2,"English, twi","English, Twi",English,Calvary Hillcrest,Jehovah Witness,christian,christian,Jehovah Witness
gh_children_054_dogs,10,F,Cape Coast,Cape Coast,4,4,"English, Fante",Fante,English,Calvary Hillcrest,ICGC (International Central Gospel Church),christian,christian,ICGC
gh_children_055_flowers,8,M,Cape Coast,Apam,2,3,"English, Fante",Fante,English,Calvary Hillcrest,Anglican,christian,christian,Anglican
gh_children_056_ghosts,10,M,Cape Coast,Cape Coast,3,3,"English, Fante",Fante,English,Calvary Hillcrest,"NA",christian,christian,"NA"
